,fault_1,fault_2,fault_3,fault_4,fault_5,fault_6,file_name
0,1,1,1,1,0,1,dataset/group00041/00041/00041101_test.jpg
1,0,0,0,0,0,0,dataset/group00041/00041/00041101_temp.jpg
2,1,0,1,1,1,1,dataset/group00041/00041/00041178_test.jpg
3,0,0,0,0,0,0,dataset/group00041/00041/00041178_temp.jpg
4,1,1,0,1,0,1,dataset/group00041/00041/00041122_test.jpg
5,0,0,0,0,0,0,dataset/group00041/00041/00041122_temp.jpg
6,1,0,1,1,1,1,dataset/group00041/00041/00041017_test.jpg
7,0,0,0,0,0,0,dataset/group00041/00041/00041017_temp.jpg
8,1,0,1,1,1,1,dataset/group00041/00041/00041168_test.jpg
9,0,0,0,0,0,0,dataset/group00041/00041/00041168_temp.jpg
10,1,1,1,1,1,1,dataset/group00041/00041/00041068_test.jpg
11,0,0,0,0,0,0,dataset/group00041/00041/00041068_temp.jpg
12,1,0,1,1,1,1,dataset/group00041/00041/00041117_test.jpg
13,0,0,0,0,0,0,dataset/group00041/00041/00041117_temp.jpg
14,1,1,1,1,1,1,dataset/group00041/00041/00041086_test.jpg
15,0,0,0,0,0,0,dataset/group00041/00041/00041086_temp.jpg
16,1,1,1,1,1,1,dataset/group00041/00041/00041204_test.jpg
17,0,0,0,0,0,0,dataset/group00041/00041/00041204_temp.jpg
18,1,1,1,1,1,1,dataset/group00041/00041/00041089_test.jpg
19,0,0,0,0,0,0,dataset/group00041/00041/00041089_temp.jpg
20,1,0,1,1,1,1,dataset/group00041/00041/00041041_test.jpg
21,0,0,0,0,0,0,dataset/group00041/00041/00041041_temp.jpg
22,1,1,1,1,1,1,dataset/group00041/00041/00041184_test.jpg
23,0,0,0,0,0,0,dataset/group00041/00041/00041184_temp.jpg
24,1,1,1,0,1,1,dataset/group00041/00041/00041158_test.jpg
25,0,0,0,0,0,0,dataset/group00041/00041/00041158_temp.jpg
26,1,1,1,1,1,1,dataset/group00041/00041/00041064_test.jpg
27,0,0,0,0,0,0,dataset/group00041/00041/00041064_temp.jpg
28,1,1,1,1,0,1,dataset/group00041/00041/00041151_test.jpg
29,0,0,0,0,0,0,dataset/group00041/00041/00041151_temp.jpg
30,1,1,1,1,0,0,dataset/group00041/00041/00041071_test.jpg
